0x52, 0x49, 0x46, 0x46, 0x8a, 0x43, 0x00, 0x00, 0x57, 0x41, 0x56, 0x45, 0x66, 0x6d, 0x74, 0x20, 
0x32, 0x00, 0x00, 0x00, 0x02, 0x00, 0x01, 0x00, 0x80, 0x3e, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x01, 0x04, 0x00, 0x20, 0x00, 0xf4, 0x01, 0x07, 0x00, 0x00, 0x01, 0x00, 0x00, 0x00, 0x02, 
0x00, 0xff, 0x00, 0x00, 0x00, 0x00, 0xc0, 0x00, 0x40, 0x00, 0xf0, 0x00, 0x00, 0x00, 0xcc, 0x01, 
0x30, 0xff, 0x88, 0x01, 0x18, 0xff, 0x66, 0x61, 0x63, 0x74, 0x04, 0x00, 0x00, 0x00, 0x40, 0x83, 
0x00, 0x00, 0x64, 0x61, 0x74, 0x61, 0x38, 0x43, 0x00, 0x00, 0x06, 0x1b, 0x00, 0x43, 0x00, 0x00, 
0x00, 0x44, 0x22, 0x12, 0x04, 0x46, 0x11, 0xfa, 0xad, 0xcc, 0xee, 0x00, 0x42, 0x34, 0x32, 0x53, 
0x24, 0x23, 0x0b, 0xda, 0xdc, 0xee, 0xe0, 0x13, 0x23, 0x37, 0x14, 0x33, 0x41, 0x10, 0xbc, 0xdd, 
0xaf, 0xf0, 0xf0, 0x11, 0x23, 0x36, 0x35, 0x14, 0x00, 0xfd, 0xdb, 0xed, 0xef, 0xe0, 0xff, 0x14, 
0x45, 0x36, 0x21, 0x20, 0x0e, 0xce, 0xce, 0xee, 0xdf, 0xee, 0x00, 0x54, 0x52, 0x51, 0x20, 0x00, 
0xfc, 0xfd, 0xfd, 0xdd, 0xb0, 0xd0, 0x15, 0x33, 0x70, 0x40, 0x00, 0x0f, 0xfe, 0xfc, 0xfc, 0xed, 
0xef, 0x04, 0x35, 0x34, 0x22, 0x11, 0x00, 0xfd, 0xf9, 0xfb, 0xee, 0xef, 0xf1, 0x43, 0x34, 0x41, 
0x21, 0x20, 0x00, 0xfb, 0xcd, 0xaf, 0xdf, 0x00, 0x14, 0x24, 0x22, 0x23, 0x32, 0x21, 0x0d, 0x8d, 
0xda, 0xfe, 0xf0, 0x02, 0x13, 0x32, 0x42, 0x61, 0x21, 0x00, 0xdb, 0xdc, 0xde, 0xef, 0x00, 0x23, 
0x23, 0x73, 0x25, 0x22, 0x10, 0xec, 0xce, 0xa0, 0xef, 0x0f, 0x01, 0x02, 0x33, 0x72, 0x33, 0x10, 
0x0d, 0xaf, 0xdd, 0xee, 0xef, 0xe0, 0xf2, 0x55, 0x35, 0x23, 0x20, 0x00, 0xcd, 0xdd, 0xce, 0xdc, 
0xee, 0xf0, 0x17, 0x35, 0x23, 0x13, 0x00, 0xee, 0xdd, 0xcd, 0x9f, 0xde, 0xe0, 0x03, 0x54, 0x33, 
0x40, 0x20, 0x0f, 0xed, 0xeb, 0xcd, 0xcc, 0xfe, 0x02, 0x35, 0x33, 0x42, 0x03, 0x00, 0x0f, 0xea, 
0xdc, 0xda, 0xff, 0xf0, 0x31, 0x43, 0x14, 0x21, 0x22, 0x10, 0x0d, 0x8e, 0xce, 0xde, 0xf0, 0x13, 
0x34, 0x34, 0x33, 0x35, 0x20, 0x10, 0x9f, 0xce, 0xde, 0xf0, 0xf1, 0x33, 0x15, 0x33, 0x52, 0x32, 
0x10, 0xd9, 0xed, 0xcf, 0xef, 0xf0, 0x12, 0x12, 0x62, 0x51, 0x41, 0x10, 0x0c, 0xec, 0xed, 0xfc, 
0x0f, 0xf0, 0x01, 0x52, 0x52, 0x42, 0x11, 0x0e, 0xce, 0xdc, 0x06, 0x6a, 0x01, 0x78, 0x03, 0x39, 
0xfb, 0xcd, 0xcf, 0xe0, 0x45, 0x36, 0x22, 0x30, 0x00, 0xec, 0xed, 0xeb, 0xed, 0xde, 0xdf, 0x16, 
0x34, 0x42, 0x40, 0x20, 0xe0, 0xee, 0xdb, 0xec, 0xce, 0xef, 0x02, 0x45, 0x24, 0x12, 0x11, 0x00, 
0x0e, 0xec, 0xcc, 0xcd, 0xc0, 0xf0, 0x42, 0x51, 0x23, 0x12, 0x10, 0x20, 0xec, 0xbc, 0xeb, 0xef, 
0xf0, 0x13, 0x33, 0x34, 0x33, 0x41, 0x40, 0x0f, 0xad, 0xcd, 0xcf, 0xe0, 0x02, 0x32, 0x43, 0x35, 
0x33, 0x33, 0x00, 0xbd, 0x8f, 0xee, 0xf0, 0xf0, 0x12, 0x13, 0x26, 0x24, 0x22, 0x10, 0x09, 0xfe, 
0xcf, 0xfe, 0x0f, 0x00, 0x03, 0x43, 0x46, 0x22, 0x11, 0x0d, 0xdc, 0xdc, 0xee, 0xdf, 0xdf, 0x00, 
0x62, 0x62, 0x33, 0x21, 0x0f, 0xdc, 0xdc, 0xed, 0xcd, 0xed, 0xe0, 0x26, 0x45, 0x22, 0x31, 0x10, 
0xef, 0xcf, 0xdc, 0xdb, 0xed, 0xfe, 0x04, 0x44, 0x34, 0x22, 0x11, 0x00, 0xdf, 0xdc, 0xae, 0xbf, 
